experiment_id,template,question_id,question,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,question_type,timestamp,experiment_timestamp,model_used,num_questions
final_targeted_20250707_075352,retrieval_focused,0,What is the capital of France?,Paris,paris,1.0,1.0,1.0,1,Simple fact - retrieval should help,2025-07-07T07:57:12.691868,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,1,Who wrote Romeo and Juliet?,William Shakespeare,william shakespeare,1.0,1.0,1.0,2,Basic fact - retrieval should be clear,2025-07-07T07:57:12.890079,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,2,What is 2 plus 2?,4,factorials n!,0.0,0.0,0.0,2,Simple math - should be straightforward,2025-07-07T07:57:13.054144,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,3,What is the largest planet?,Jupiter,uy scuti,0.0,0.0,0.0,2,Simple factual lookup,2025-07-07T07:57:13.206816,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,4,What is photosynthesis?,process where plants make food from sunlight,,0.0,0.0,0.0,0,Knowledge synthesis should explain better,2025-07-07T07:57:13.331624,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,5,How do computers work?,they process information using electrical circuits,what turns you on?,0.0,0.0,0.0,4,Synthesis should give better explanation,2025-07-07T07:57:13.509745,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,6,What causes rain?,water evaporation and condensation in clouds,what turns you on?,0.0,0.0,0.0,4,Process explanation benefits from synthesis,2025-07-07T07:57:13.674358,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,7,Name three colors,red blue green,red,0.0,0.5,0.3333333333333333,1,Clear instruction should structure answer,2025-07-07T07:57:13.801996,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,8,List two animals,cat dog,cat,0.0,0.6666666666666666,0.5,1,Clear instruction should help with listing,2025-07-07T07:57:13.933690,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,9,Give three examples of fruits,apple banana orange,apple,0.0,0.5,0.3333333333333333,1,Instruction following for lists,2025-07-07T07:57:14.085587,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,10,Why is water important?,essential for life and survival,health,0.0,0.0,0.0,1,Context should provide better reasoning,2025-07-07T07:57:14.220577,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,11,What makes plants green?,chlorophyll,chlorophyll,1.0,1.0,1.0,1,Context should identify specific cause,2025-07-07T07:57:14.366565,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,12,How do birds fly?,wings create lift and thrust,,0.0,0.0,0.0,0,Context should explain mechanism,2025-07-07T07:57:14.495584,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,13,Is the Earth round?,yes,factorials n!,0.0,0.0,0.0,2,Direct confidence should be clear,2025-07-07T07:57:14.690264,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,14,Do birds fly?,yes,,0.0,0.0,0.0,0,Direct answer should be confident,2025-07-07T07:57:14.818435,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,15,Is water wet?,yes,is water wet?,0.0,0.0,0.0,3,Simple yes/no should be direct,2025-07-07T07:57:14.982694,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,16,What are the primary colors?,red yellow blue,blue,0.0,0.5,0.3333333333333333,1,Structure should organize the list,2025-07-07T07:57:15.111819,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,17,What are the seasons?,spring summer autumn winter,season,0.0,0.0,0.0,1,Structured listing should help,2025-07-07T07:57:15.255935,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,18,Name the days of the week,monday tuesday wednesday thursday friday saturday sunday,monday,0.0,0.25,0.14285714285714285,1,Sequential structure should benefit,2025-07-07T07:57:15.400986,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,19,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,SQuAD baseline,2025-07-07T07:57:15.541554,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,20,When were the Normans in Normandy?,10th and 11th centuries,9th century -- 9th century,0.0,0.0,0.0,5,SQuAD baseline,2025-07-07T07:57:15.745094,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,21,From which countries did the Norse originate?,"Denmark, Iceland and Norway",iceland,0.0,0.4,0.25,1,SQuAD baseline,2025-07-07T07:57:15.896612,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,22,Who was the Norse leader?,Rollo,bjorn ulvaeus,0.0,0.0,0.0,2,SQuAD baseline,2025-07-07T07:57:16.099136,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,23,What century did the Normans first gain their separate identity?,10th century,the ninth century,0.0,0.4,0.5,3,SQuAD baseline,2025-07-07T07:57:16.257417,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,24,Who was the duke in the battle of Hastings?,William the Conqueror,william,0.0,0.5,0.3333333333333333,1,SQuAD baseline,2025-07-07T07:57:16.447815,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,25,Who ruled the duchy of Normandy,Richard I,king charles iii,0.0,0.0,0.0,3,SQuAD baseline,2025-07-07T07:57:16.644647,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,26,What religion were the Normans,Catholic,catholicism,0.0,0.0,0.0,1,SQuAD baseline,2025-07-07T07:57:16.799422,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,27,What is the original meaning of the word Norman?,Viking,north,0.0,0.0,0.0,1,SQuAD baseline,2025-07-07T07:57:16.951881,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,28,When was the Latin version of the word Norman first recorded?,9th century,in 1024,0.0,0.0,0.0,2,SQuAD baseline,2025-07-07T07:57:17.112580,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,29,When was the Duchy of Normandy founded?,911,1066,0.0,0.0,0.0,1,SQuAD baseline,2025-07-07T07:57:17.269521,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,30,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,King Charles III,the franks,0.0,0.0,0.0,2,SQuAD baseline,2025-07-07T07:57:17.470897,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,31,What river originally bounded the Duchy,Seine,tennessee river,0.0,0.0,0.0,2,SQuAD baseline,2025-07-07T07:57:17.627487,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,32,Who upon arriving gave the original viking settlers a common identity?,Rollo,the inuit,0.0,0.0,0.0,2,SQuAD baseline,2025-07-07T07:57:17.768897,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,33,What was the Norman religion?,Catholicism,islam,0.0,0.0,0.0,1,SQuAD baseline,2025-07-07T07:57:17.936780,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,34,What part of France were the Normans located?,north,normandy,0.0,0.0,0.0,1,SQuAD baseline,2025-07-07T07:57:18.099071,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,35,What was one of the Norman's major exports?,fighting horsemen,foodstuffs,0.0,0.0,0.0,1,SQuAD baseline,2025-07-07T07:57:18.244881,20250707_080608,facebook/rag-token-nq,500
final_targeted_20250707_075352,retrieval_focused,36,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?",Seljuk Turks,byzantine empire,0.0,0.0,0.0,2,SQuAD baseline,2025-07-07T07:57:18.411029,20250707_080608,facebook/rag-token-nq,500
