experiment_id,template,question_id,question,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,question_type,timestamp,experiment_timestamp,model_used,num_questions
final_targeted_20250708_160041,search_and_answer,0,When was Barack Obama born?,August 4 1961,1961,0.0,0.5,0.3333333333333333,1,Specific factual data - retrieval should excel,2025-07-08T16:04:30.683492,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,1,What is the population of Tokyo?,37 million,tokyo metropolitan area,0.0,0.0,0.0,3,Current data - retrieval advantage,2025-07-08T16:04:30.878766,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,2,Who directed the movie Titanic?,James Cameron,british brothers arthur and luther jones,0.0,0.0,0.0,6,Specific fact - Wikipedia has this,2025-07-08T16:04:31.098519,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,3,What is the capital of New Zealand?,Wellington,,0.0,0.0,0.0,0,Less common fact - retrieval helps,2025-07-08T16:04:31.459354,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,4,When did the Berlin Wall fall?,November 9 1989,21st century,0.0,0.0,0.0,2,Historical fact - Wikipedia strength,2025-07-08T16:04:31.854632,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,5,What is the chemical formula for methane?,CH4,methane,0.0,0.0,0.0,1,Scientific fact - retrieval advantage,2025-07-08T16:04:32.013011,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,6,Who wrote the novel Dune?,Frank Herbert,william gilbert,0.0,0.0,0.0,2,Specific attribution - Wikipedia has this,2025-07-08T16:04:32.194388,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,7,What is the deepest ocean trench?,Mariana Trench,jacques piccard,0.0,0.0,0.0,2,Specific geographic fact,2025-07-08T16:04:32.493860,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,8,When was the first iPhone released?,June 29 2007,"october 24, 2007",0.0,0.3333333333333333,0.3333333333333333,3,Specific date - retrieval should help,2025-07-08T16:04:32.878653,20250708_161845,facebook/rag-token-nq,500
final_targeted_20250708_160041,search_and_answer,9,What is the largest desert in the world?,Antarctica,the the arabian desert,0.0,0.0,0.0,4,Counter-intuitive fact - retrieval needed,2025-07-08T16:04:33.196148,20250708_161845,facebook/rag-token-nq,500
