experiment_id,template,question_id,question,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,question_type,timestamp
minimal_20250708_191907,question_mark,0,What is the capital of France,Paris,paris,1.0,1.0,1.0,1,Missing punctuation - question mark should help,2025-07-08T19:24:13.172161
minimal_20250708_191907,question_mark,1,Who wrote Hamlet,William Shakespeare,william shakespeare,1.0,1.0,1.0,2,Statement form - question mark should improve,2025-07-08T19:24:13.463613
minimal_20250708_191907,question_mark,2,When did World War II end,1945,2 september 1945,0.0,0.5,1.0,3,Missing question mark,2025-07-08T19:24:13.732814
minimal_20250708_191907,question_mark,3,Tell me the largest planet,Jupiter,greenwich,0.0,0.0,0.0,1,Command form - politeness might help,2025-07-08T19:24:14.016830
minimal_20250708_191907,question_mark,4,Give me the chemical symbol for gold,Au,Au,1.0,1.0,1.0,1,Imperative form - polite request better,2025-07-08T19:24:14.267198
minimal_20250708_191907,question_mark,5,What is the speed of light,299792458 meters per second,"299,792,458 metres per second",0.0,0.5,0.5,4,Could be vague - precision request should help,2025-07-08T19:24:14.572863
minimal_20250708_191907,question_mark,6,Population of Tokyo,37 million,"38,140,000",0.0,0.0,0.0,1,Incomplete question - precision should help,2025-07-08T19:24:14.856072
minimal_20250708_191907,question_mark,7,Photosynthesis,process where plants make food from sunlight,photosynthesis,0.0,0.0,0.0,1,Single word - 'what is' framing should help,2025-07-08T19:24:15.191627
minimal_20250708_191907,question_mark,8,Democracy,government by the people,democratic,0.0,0.0,0.0,1,Single concept - definition framing helps,2025-07-08T19:24:15.445974
minimal_20250708_191907,question_mark,9,What color is the sky?,blue,blue,1.0,1.0,1.0,1,Perfect question - basic should win,2025-07-08T19:24:15.683109
minimal_20250708_191907,question_mark,10,How many days in a week?,seven,seven,1.0,1.0,1.0,1,Simple count - basic should be fine,2025-07-08T19:24:15.918748
minimal_20250708_191907,question_mark,11,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,SQuAD baseline,2025-07-08T19:24:16.188727
minimal_20250708_191907,question_mark,12,When were the Normans in Normandy?,10th and 11th centuries,9th century -- 9th century,0.0,0.0,0.0,5,SQuAD baseline,2025-07-08T19:24:16.496337
minimal_20250708_191907,question_mark,13,From which countries did the Norse originate?,"Denmark, Iceland and Norway",norway,0.0,0.4,0.25,1,SQuAD baseline,2025-07-08T19:24:16.753577
minimal_20250708_191907,question_mark,14,Who was the Norse leader?,Rollo,cnut,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:24:17.011786
minimal_20250708_191907,question_mark,15,What century did the Normans first gain their separate identity?,10th century,the ninth century,0.0,0.4,0.5,3,SQuAD baseline,2025-07-08T19:24:17.306149
minimal_20250708_191907,question_mark,16,Who was the duke in the battle of Hastings,William the Conqueror,william,0.0,0.5,0.3333333333333333,1,SQuAD baseline,2025-07-08T19:24:17.592793
minimal_20250708_191907,question_mark,17,Who ruled the duchy of Normandy,Richard I,king charles iii of west francia,0.0,0.0,0.0,6,SQuAD baseline,2025-07-08T19:24:17.895129
minimal_20250708_191907,question_mark,18,What religion were the Normans,Catholic,catholicism,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:24:18.152319
minimal_20250708_191907,question_mark,19,What is the original meaning of the word Norman?,Viking,north,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:24:18.415850
minimal_20250708_191907,question_mark,20,When was the Latin version of the word Norman first recorded?,9th century,9th century,1.0,1.0,1.0,2,SQuAD baseline,2025-07-08T19:24:18.656011
minimal_20250708_191907,question_mark,21,When was the Duchy of Normandy founded,911,1066,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:24:18.923962
minimal_20250708_191907,question_mark,22,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,King Charles III,hrólfr,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:24:19.249427
minimal_20250708_191907,question_mark,23,What river originally bounded the Duchy,Seine,,0.0,0.0,0.0,0,SQuAD baseline,2025-07-08T19:24:19.471719
minimal_20250708_191907,question_mark,24,Who upon arriving gave the original viking settlers a common identity?,Rollo,the byzantines,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T19:24:19.735119
minimal_20250708_191907,question_mark,25,What was the Norman religion?,Catholicism,catholicism,1.0,1.0,1.0,1,SQuAD baseline,2025-07-08T19:24:19.932945
minimal_20250708_191907,question_mark,26,What part of France were the Normans located?,north,west france,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T19:24:20.194476
