experiment_id,template,template_purpose,question_id,question,formatted_prompt,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,timestamp
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,0,In what country is Normandy located,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,2025-07-11T12:19:39.472168
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,1,When were the Normans in Normandy,When were the Normans in Normandy?,10th and 11th centuries,9th century -- 9th century,0.0,0.0,0.0,5,2025-07-11T12:19:39.829327
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,2,From which countries did the Norse originate,From which countries did the Norse originate?,"Denmark, Iceland and Norway",sweden,0.0,0.0,0.0,1,2025-07-11T12:19:40.247575
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,3,Who was the Norse leader,Who was the Norse leader?,Rollo,cnut,0.0,0.0,0.0,1,2025-07-11T12:19:40.527034
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,4,What century did the Normans first gain their separate identity,What century did the Normans first gain their separate identity?,10th century,the ninth century,0.0,0.4,0.5,3,2025-07-11T12:19:41.000269
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,5,Who was the duke in the battle of Hastings,Who was the duke in the battle of Hastings?,William the Conqueror,william,0.0,0.5,0.3333333333333333,1,2025-07-11T12:19:41.443147
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,6,Who ruled the duchy of Normandy,Who ruled the duchy of Normandy?,Richard I,king charles iii of west francia,0.0,0.0,0.0,6,2025-07-11T12:19:41.919191
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,7,What religion were the Normans,What religion were the Normans?,Catholic,catholicism,0.0,0.0,0.0,1,2025-07-11T12:19:42.298088
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,8,What is the original meaning of the word Norman,What is the original meaning of the word Norman?,Viking,north,0.0,0.0,0.0,1,2025-07-11T12:19:42.477765
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,9,When was the Latin version of the word Norman first recorded,When was the Latin version of the word Norman first recorded?,9th century,1024,0.0,0.0,0.0,1,2025-07-11T12:19:42.946372
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,10,When was the Duchy of Normandy founded,When was the Duchy of Normandy founded?,911,1066,0.0,0.0,0.0,1,2025-07-11T12:19:43.694960
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,11,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,King Charles III,charles the simple,0.0,0.3333333333333333,0.3333333333333333,3,2025-07-11T12:19:44.774285
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,12,What river originally bounded the Duchy,What river originally bounded the Duchy?,Seine,,0.0,0.0,0.0,0,2025-07-11T12:19:45.407646
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,13,Who upon arriving gave the original viking settlers a common identity,Who upon arriving gave the original viking settlers a common identity?,Rollo,the byzantines,0.0,0.0,0.0,2,2025-07-11T12:19:46.344726
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,14,What was the Norman religion,What was the Norman religion?,Catholicism,catholicism,1.0,1.0,1.0,1,2025-07-11T12:19:46.800504
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,15,What part of France were the Normans located,What part of France were the Normans located?,north,west france,0.0,0.0,0.0,2,2025-07-11T12:19:47.470250
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,16,What was one of the Norman's major exports,What was one of the Norman's major exports?,fighting horsemen,cloth,0.0,0.0,0.0,1,2025-07-11T12:19:48.117854
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,17,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia","Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?",Seljuk Turks,hohenstaufen,0.0,0.0,0.0,1,2025-07-11T12:19:48.635132
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,18,When did Herve serve as a Byzantine general,When did Herve serve as a Byzantine general?,1050s,1984 -- 86,0.0,0.0,0.0,3,2025-07-11T12:19:49.210277
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,19,When did Robert Crispin go up against the Turks,When did Robert Crispin go up against the Turks?,1060s,862,0.0,0.0,0.0,1,2025-07-11T12:19:49.501930
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,20,Who ruined Roussel de Bailleul's plans for an independent state,Who ruined Roussel de Bailleul's plans for an independent state?,Alexius Komnenos,henshaw,0.0,0.0,0.0,1,2025-07-11T12:19:49.761839
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,21,What was the name of the Norman castle,What was the name of the Norman castle?,Afranji,neath castle,0.0,0.0,0.0,2,2025-07-11T12:19:50.258800
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,22,Who was the leader when the Franks entered the Euphrates valley,Who was the leader when the Franks entered the Euphrates valley?,Oursel,theudebert i,0.0,0.0,0.0,2,2025-07-11T12:19:50.515878
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,23,Who did the Normans team up with in Anatolia,Who did the Normans team up with in Anatolia?,Turkish forces,turkey,0.0,0.0,0.0,1,2025-07-11T12:19:50.969139
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,24,What were the origins of the Raouliii family,What were the origins of the Raouliii family?,Norman mercenary,english,0.0,0.0,0.0,1,2025-07-11T12:19:51.454109
seven_template_20250711_121522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,25,What was the name of the count of Apulia,What was the name of the count of Apulia?,Robert Guiscard,armistice of villa giusti,0.0,0.0,0.0,4,2025-07-11T12:19:51.956188
