experiment_id,template,question_id,question,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,question_type,timestamp
targeted_fix_20250814_055602,retrieval_focused,0,What is the capital of France?,Paris,paris,1.0,1.0,1.0,1,Simple fact - retrieval should help,2025-08-14T06:01:42.542189
targeted_fix_20250814_055602,retrieval_focused,1,Who wrote Romeo and Juliet?,William Shakespeare,william shakespeare,1.0,1.0,1.0,2,Basic fact - retrieval should be clear,2025-08-14T06:01:42.885412
targeted_fix_20250814_055602,retrieval_focused,2,What is 2 plus 2?,4,factorials n!,0.0,0.0,0.0,2,Simple math - should be straightforward,2025-08-14T06:01:43.339868
targeted_fix_20250814_055602,retrieval_focused,3,What is photosynthesis?,process where plants make food from sunlight,,0.0,0.0,0.0,0,Knowledge synthesis should explain better,2025-08-14T06:01:43.620905
targeted_fix_20250814_055602,retrieval_focused,4,How do computers work?,they process information using electrical circuits,what turns you on?,0.0,0.0,0.0,4,Synthesis should give better explanation,2025-08-14T06:01:44.368212
targeted_fix_20250814_055602,retrieval_focused,5,Name three colors,red blue green,red,0.0,0.5,0.3333333333333333,1,Clear instruction should structure answer,2025-08-14T06:01:44.827807
targeted_fix_20250814_055602,retrieval_focused,6,List two animals,cat dog,cat,0.0,0.6666666666666666,0.5,1,Clear instruction should help with listing,2025-08-14T06:01:45.408458
targeted_fix_20250814_055602,retrieval_focused,7,Why is water important?,essential for life and survival,health,0.0,0.0,0.0,1,Context should provide better reasoning,2025-08-14T06:01:45.742480
targeted_fix_20250814_055602,retrieval_focused,8,What makes plants green?,chlorophyll,chlorophyll,1.0,1.0,1.0,1,Context should identify specific cause,2025-08-14T06:01:45.948686
targeted_fix_20250814_055602,retrieval_focused,9,Is the Earth round?,yes,factorials n!,0.0,0.0,0.0,2,Direct confidence should be clear,2025-08-14T06:01:46.189957
targeted_fix_20250814_055602,retrieval_focused,10,Do birds fly?,yes,,0.0,0.0,0.0,0,Direct answer should be confident,2025-08-14T06:01:46.355010
targeted_fix_20250814_055602,retrieval_focused,11,What are the primary colors?,red yellow blue,blue,0.0,0.5,0.3333333333333333,1,Structure should organize the list,2025-08-14T06:01:46.517391
targeted_fix_20250814_055602,retrieval_focused,12,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,SQuAD baseline,2025-08-14T06:01:46.696981
targeted_fix_20250814_055602,retrieval_focused,13,When were the Normans in Normandy?,10th and 11th centuries,9th century -- 9th century,0.0,0.0,0.0,5,SQuAD baseline,2025-08-14T06:01:46.939063
targeted_fix_20250814_055602,retrieval_focused,14,From which countries did the Norse originate?,"Denmark, Iceland and Norway",iceland,0.0,0.4,0.25,1,SQuAD baseline,2025-08-14T06:01:47.158312
targeted_fix_20250814_055602,retrieval_focused,15,Who was the Norse leader?,Rollo,bjorn ulvaeus,0.0,0.0,0.0,2,SQuAD baseline,2025-08-14T06:01:47.432074
targeted_fix_20250814_055602,retrieval_focused,16,What century did the Normans first gain their separate identity?,10th century,the ninth century,0.0,0.4,0.5,3,SQuAD baseline,2025-08-14T06:01:47.642936
targeted_fix_20250814_055602,retrieval_focused,17,Who was the duke in the battle of Hastings?,William the Conqueror,william,0.0,0.5,0.3333333333333333,1,SQuAD baseline,2025-08-14T06:01:47.885099
targeted_fix_20250814_055602,retrieval_focused,18,Who ruled the duchy of Normandy,Richard I,king charles iii,0.0,0.0,0.0,3,SQuAD baseline,2025-08-14T06:01:48.197674
targeted_fix_20250814_055602,retrieval_focused,19,What religion were the Normans,Catholic,catholicism,0.0,0.0,0.0,1,SQuAD baseline,2025-08-14T06:01:48.449717
targeted_fix_20250814_055602,retrieval_focused,20,What is the original meaning of the word Norman?,Viking,north,0.0,0.0,0.0,1,SQuAD baseline,2025-08-14T06:01:48.719932
