experiment_id,template,template_purpose,question_id,question,formatted_prompt,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,timestamp
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,0,In what country is Normandy located,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,2025-07-11T07:41:42.201119
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,1,When were the Normans in Normandy,When were the Normans in Normandy?,10th and 11th centuries,9th century -- 9th century,0.0,0.0,0.0,5,2025-07-11T07:41:42.751201
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,2,From which countries did the Norse originate,From which countries did the Norse originate?,"Denmark, Iceland and Norway",sweden,0.0,0.0,0.0,1,2025-07-11T07:41:43.191206
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,3,Who was the Norse leader,Who was the Norse leader?,Rollo,cnut,0.0,0.0,0.0,1,2025-07-11T07:41:43.444501
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,4,What century did the Normans first gain their separate identity,What century did the Normans first gain their separate identity?,10th century,the ninth century,0.0,0.4,0.5,3,2025-07-11T07:41:44.026813
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,5,Who was the duke in the battle of Hastings,Who was the duke in the battle of Hastings?,William the Conqueror,william,0.0,0.5,0.3333333333333333,1,2025-07-11T07:41:44.556341
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,6,Who ruled the duchy of Normandy,Who ruled the duchy of Normandy?,Richard I,king charles iii of west francia,0.0,0.0,0.0,6,2025-07-11T07:41:45.132808
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,7,What religion were the Normans,What religion were the Normans?,Catholic,catholicism,0.0,0.0,0.0,1,2025-07-11T07:41:45.562015
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,8,What is the original meaning of the word Norman,What is the original meaning of the word Norman?,Viking,north,0.0,0.0,0.0,1,2025-07-11T07:41:45.941466
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,9,When was the Latin version of the word Norman first recorded,When was the Latin version of the word Norman first recorded?,9th century,1024,0.0,0.0,0.0,1,2025-07-11T07:41:46.374139
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,10,When was the Duchy of Normandy founded,When was the Duchy of Normandy founded?,911,1066,0.0,0.0,0.0,1,2025-07-11T07:41:46.868960
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,11,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,King Charles III,charles the simple,0.0,0.3333333333333333,0.3333333333333333,3,2025-07-11T07:41:47.454817
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,12,What river originally bounded the Duchy,What river originally bounded the Duchy?,Seine,,0.0,0.0,0.0,0,2025-07-11T07:41:47.817847
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,13,Who upon arriving gave the original viking settlers a common identity,Who upon arriving gave the original viking settlers a common identity?,Rollo,the byzantines,0.0,0.0,0.0,2,2025-07-11T07:41:48.278387
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,14,What was the Norman religion,What was the Norman religion?,Catholicism,catholicism,1.0,1.0,1.0,1,2025-07-11T07:41:48.631712
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,15,What part of France were the Normans located,What part of France were the Normans located?,north,west france,0.0,0.0,0.0,2,2025-07-11T07:41:48.993456
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,16,What was one of the Norman's major exports,What was one of the Norman's major exports?,fighting horsemen,cloth,0.0,0.0,0.0,1,2025-07-11T07:41:49.379439
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,17,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia","Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?",Seljuk Turks,hohenstaufen,0.0,0.0,0.0,1,2025-07-11T07:41:49.848695
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,18,When did Herve serve as a Byzantine general,When did Herve serve as a Byzantine general?,1050s,1984 -- 86,0.0,0.0,0.0,3,2025-07-11T07:41:50.250479
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,19,When did Robert Crispin go up against the Turks,When did Robert Crispin go up against the Turks?,1060s,862,0.0,0.0,0.0,1,2025-07-11T07:41:50.554619
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,20,Who ruined Roussel de Bailleul's plans for an independent state,Who ruined Roussel de Bailleul's plans for an independent state?,Alexius Komnenos,henshaw,0.0,0.0,0.0,1,2025-07-11T07:41:51.059347
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,21,What was the name of the Norman castle,What was the name of the Norman castle?,Afranji,neath castle,0.0,0.0,0.0,2,2025-07-11T07:41:51.568922
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,22,Who was the leader when the Franks entered the Euphrates valley,Who was the leader when the Franks entered the Euphrates valley?,Oursel,theudebert i,0.0,0.0,0.0,2,2025-07-11T07:41:51.994675
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,23,Who did the Normans team up with in Anatolia,Who did the Normans team up with in Anatolia?,Turkish forces,turkey,0.0,0.0,0.0,1,2025-07-11T07:41:52.430474
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,24,What were the origins of the Raouliii family,What were the origins of the Raouliii family?,Norman mercenary,english,0.0,0.0,0.0,1,2025-07-11T07:41:52.807232
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,25,What was the name of the count of Apulia,What was the name of the count of Apulia?,Robert Guiscard,armistice of villa giusti,0.0,0.0,0.0,4,2025-07-11T07:41:53.299081
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,26,When did Dyrrachium  fall to the Normans,When did Dyrrachium  fall to the Normans?,1082,10th century,0.0,0.0,0.0,2,2025-07-11T07:41:53.792129
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,27,How many men were in Robert's army,How many men were in Robert's army?,"30,000","1,000,000",0.0,0.0,0.0,1,2025-07-11T07:41:54.288868
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,28,Where did the Normans and Byzantines sign the peace treaty,Where did the Normans and Byzantines sign the peace treaty?,Deabolis,constantinople,0.0,0.0,0.0,1,2025-07-11T07:41:54.736328
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,29,Who was Robert's son,Who was Robert's son?,Bohemond,steffon,0.0,0.0,0.0,1,2025-07-11T07:41:55.241298
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,30,What river was Petrela located by,What river was Petrela located by?,Deabolis,river irwell,0.0,0.0,0.0,2,2025-07-11T07:41:55.633478
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,31,When did the Normans attack Dyrrachium,When did the Normans attack Dyrrachium?,1185,october 1174,0.0,0.0,0.0,2,2025-07-11T07:41:55.942636
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,32,What was the naval base called,What was the naval base called?,Dyrrachium,guantanamo bay naval base,0.0,0.0,0.0,4,2025-07-11T07:41:56.415537
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,33,Where was Dyrrachium located,Where was Dyrrachium located?,the Adriatic,canada,0.0,0.0,0.0,1,2025-07-11T07:41:56.895544
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,34,Who did Emma Marry,Who did Emma Marry?,King Ethelred II,will arnett,0.0,0.0,0.0,2,2025-07-11T07:41:57.247400
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,35,Who was Emma's brother,Who was Emma's brother?,Duke Richard II,bradley spencer,0.0,0.0,0.0,2,2025-07-11T07:41:57.669694
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,36,To where did Ethelred flee,To where did Ethelred flee?,Normandy,fled to be with ethelred,0.0,0.0,0.0,5,2025-07-11T07:41:58.163854
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,37,Who kicked Ethelred out,Who kicked Ethelred out?,Sweyn Forkbeard,howard,0.0,0.0,0.0,1,2025-07-11T07:41:58.584859
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,38,Who was Edward the Confessor's half-brother,Who was Edward the Confessor's half-brother?,Harthacnut,edmund irons,0.0,0.0,0.0,2,2025-07-11T07:41:59.052554
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,39,When did Edward return,When did Edward return?,1041,1357,0.0,0.0,0.0,1,2025-07-11T07:41:59.531591
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,40,Who did Edward make archbishop of Canterbury,Who did Edward make archbishop of Canterbury?,Robert of Jumièges,himself,0.0,0.0,0.0,1,2025-07-11T07:41:59.783902
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,41,Where did Harold II die,Where did Harold II die?,Battle of Hastings,at the battle of hastings,0.0,0.7499999999999999,1.0,5,2025-07-11T07:42:00.296913
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,42,Who killed Harold II?,Who killed Harold II??,William II,william the conqueror,0.0,0.4,0.5,3,2025-07-11T07:42:00.766394
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,43,When was the Battle of Hastings,When was the Battle of Hastings?,1066,14 october 1066,0.0,0.5,1.0,3,2025-07-11T07:42:01.200811
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,44,Who was the ruling class ahead of the Normans,Who was the ruling class ahead of the Normans?,Anglo-Saxons,the bourgeoisie,0.0,0.0,0.0,2,2025-07-11T07:42:01.342722
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,45,What was the Anglo-Norman language's final form,What was the Anglo-Norman language's final form?,Modern English,middle english,0.0,0.5,0.5,2,2025-07-11T07:42:01.473494
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,46,In what year did the Norman's invade at Bannow Bay,In what year did the Norman's invade at Bannow Bay?,1169,1169,1.0,1.0,1.0,1,2025-07-11T07:42:01.864191
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,47,What country did the Normans invade in 1169,What country did the Normans invade in 1169?,Ireland,england,0.0,0.0,0.0,1,2025-07-11T07:42:02.153816
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,48,What culture did the Normans combine with in Ireland,What culture did the Normans combine with in Ireland?,Irish,irish,1.0,1.0,1.0,1,2025-07-11T07:42:02.537403
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,49,Who was Margaret's brother,Who was Margaret's brother?,Edgar,philip,0.0,0.0,0.0,1,2025-07-11T07:42:02.951025
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,50,Who was Margaret's husband,Who was Margaret's husband?,King Malcolm III of Scotland,hans schroeder,0.0,0.0,0.0,2,2025-07-11T07:42:03.278810
seven_template_20250711_073742,question_mark,Proven winner - 2.2% improvement over basic,51,When was Scotland invaded by William,When was Scotland invaded by William?,1072,1612,0.0,0.0,0.0,1,2025-07-11T07:42:03.688831
