experiment_id,template,question_id,question,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,question_type,timestamp
minimal_20250710_003817,question_mark,0,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,SQuAD baseline,2025-07-10T00:43:31.785351
minimal_20250710_003817,question_mark,1,When were the Normans in Normandy?,10th and 11th centuries,9th century -- 9th century,0.0,0.0,0.0,5,SQuAD baseline,2025-07-10T00:43:32.339557
minimal_20250710_003817,question_mark,2,From which countries did the Norse originate,"Denmark, Iceland and Norway",sweden,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:32.710041
minimal_20250710_003817,question_mark,3,Who was the Norse leader?,Rollo,cnut,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:33.259580
minimal_20250710_003817,question_mark,4,What century did the Normans first gain their separate identity?,10th century,the ninth century,0.0,0.4,0.5,3,SQuAD baseline,2025-07-10T00:43:33.948522
minimal_20250710_003817,question_mark,5,Who was the duke in the battle of Hastings?,William the Conqueror,william,0.0,0.5,0.3333333333333333,1,SQuAD baseline,2025-07-10T00:43:34.492947
minimal_20250710_003817,question_mark,6,Who ruled the duchy of Normandy,Richard I,king charles iii of west francia,0.0,0.0,0.0,6,SQuAD baseline,2025-07-10T00:43:34.856602
minimal_20250710_003817,question_mark,7,What religion were the Normans,Catholic,catholicism,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:35.124144
minimal_20250710_003817,question_mark,8,What is the original meaning of the word Norman,Viking,north,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:35.680266
minimal_20250710_003817,question_mark,9,When was the Latin version of the word Norman first recorded?,9th century,9th century,1.0,1.0,1.0,2,SQuAD baseline,2025-07-10T00:43:36.348131
minimal_20250710_003817,question_mark,10,When was the Duchy of Normandy founded,911,1066,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:36.519582
minimal_20250710_003817,question_mark,11,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with,King Charles III,charles the simple,0.0,0.3333333333333333,0.3333333333333333,3,SQuAD baseline,2025-07-10T00:43:37.170038
minimal_20250710_003817,question_mark,12,What river originally bounded the Duchy,Seine,,0.0,0.0,0.0,0,SQuAD baseline,2025-07-10T00:43:37.353283
minimal_20250710_003817,question_mark,13,Who upon arriving gave the original viking settlers a common identity?,Rollo,the byzantines,0.0,0.0,0.0,2,SQuAD baseline,2025-07-10T00:43:38.148870
minimal_20250710_003817,question_mark,14,What was the Norman religion,Catholicism,catholicism,1.0,1.0,1.0,1,SQuAD baseline,2025-07-10T00:43:38.608204
minimal_20250710_003817,question_mark,15,What part of France were the Normans located?,north,west france,0.0,0.0,0.0,2,SQuAD baseline,2025-07-10T00:43:38.964218
minimal_20250710_003817,question_mark,16,What was one of the Norman's major exports?,fighting horsemen,"266,827",0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:39.223921
minimal_20250710_003817,question_mark,17,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?",Seljuk Turks,hohenstaufen,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:39.776201
minimal_20250710_003817,question_mark,18,When did Herve serve as a Byzantine general?,1050s,1984 -- 86,0.0,0.0,0.0,3,SQuAD baseline,2025-07-10T00:43:40.566527
minimal_20250710_003817,question_mark,19,When did Robert Crispin go up against the Turks?,1060s,862,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:40.812223
minimal_20250710_003817,question_mark,20,Who ruined Roussel de Bailleul's plans for an independent state?,Alexius Komnenos,henshaw,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:41.216363
minimal_20250710_003817,question_mark,21,What was the name of the Norman castle,Afranji,neath castle,0.0,0.0,0.0,2,SQuAD baseline,2025-07-10T00:43:41.590948
minimal_20250710_003817,question_mark,22,Who was the leader when the Franks entered the Euphrates valley,Oursel,theudebert i,0.0,0.0,0.0,2,SQuAD baseline,2025-07-10T00:43:42.021704
minimal_20250710_003817,question_mark,23,Who did the Normans team up with in Anatolia?,Turkish forces,turkey,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:42.676403
minimal_20250710_003817,question_mark,24,What were the origins of the Raouliii family?,Norman mercenary,english,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:43.137675
minimal_20250710_003817,question_mark,25,What was the name of the count of Apulia ,Robert Guiscard,armistice of villa giusti,0.0,0.0,0.0,4,SQuAD baseline,2025-07-10T00:43:43.748916
minimal_20250710_003817,question_mark,26,When did Dyrrachium  fall to the Normans?,1082,10th century,0.0,0.0,0.0,2,SQuAD baseline,2025-07-10T00:43:44.030112
minimal_20250710_003817,question_mark,27,How many men were in Robert's army?,"30,000","about 100,000 and 150,000",0.0,0.0,0.0,4,SQuAD baseline,2025-07-10T00:43:44.966304
minimal_20250710_003817,question_mark,28,Where did the Normans and Byzantines sign the peace treaty?,Deabolis,constantinople,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:45.518007
minimal_20250710_003817,question_mark,29,Who was Robert's son?,Bohemond,odo,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:45.769074
minimal_20250710_003817,question_mark,30,What river was Petrela located by?,Deabolis,river sita,0.0,0.0,0.0,2,SQuAD baseline,2025-07-10T00:43:46.111371
minimal_20250710_003817,question_mark,31,When did the Normans attack Dyrrachium?,1185,january / february ad 627,0.0,0.0,0.0,5,SQuAD baseline,2025-07-10T00:43:47.041007
minimal_20250710_003817,question_mark,32,What was the naval base called?,Dyrrachium,naval station guantanamo bay,0.0,0.0,0.0,4,SQuAD baseline,2025-07-10T00:43:47.688912
minimal_20250710_003817,question_mark,33,Where was Dyrrachium located?,the Adriatic,north america,0.0,0.0,0.0,2,SQuAD baseline,2025-07-10T00:43:47.869318
minimal_20250710_003817,question_mark,34,Who did Emma Marry?,King Ethelred II,kunj,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:48.165586
minimal_20250710_003817,question_mark,35,Who was Emma's brother?,Duke Richard II,elliot reeve,0.0,0.0,0.0,2,SQuAD baseline,2025-07-10T00:43:48.835936
minimal_20250710_003817,question_mark,36,To where did Ethelred flee,Normandy,fled to be with ethelred,0.0,0.0,0.0,5,SQuAD baseline,2025-07-10T00:43:49.589805
minimal_20250710_003817,question_mark,37,Who kicked Ethelred out?,Sweyn Forkbeard,howard,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:49.827229
minimal_20250710_003817,question_mark,38,Who was Edward the Confessor's half-brother?,Harthacnut,edwin of mercia,0.0,0.0,0.0,3,SQuAD baseline,2025-07-10T00:43:50.312555
minimal_20250710_003817,question_mark,39,When did Edward return?,1041,1357,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:50.567132
minimal_20250710_003817,question_mark,40,Who did Edward make archbishop of Canterbury,Robert of Jumièges,himself,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:51.018553
minimal_20250710_003817,question_mark,41,Where did Harold II die?,Battle of Hastings,at the battle of hastings,0.0,0.7499999999999999,1.0,5,SQuAD baseline,2025-07-10T00:43:51.518594
minimal_20250710_003817,question_mark,42,Who killed Harold II? ,William II,william the conqueror,0.0,0.4,0.5,3,SQuAD baseline,2025-07-10T00:43:52.257890
minimal_20250710_003817,question_mark,43,When was the Battle of Hastings?,1066,14 october 1066,0.0,0.5,1.0,3,SQuAD baseline,2025-07-10T00:43:52.430141
minimal_20250710_003817,question_mark,44,Who was the ruling class ahead of the Normans?,Anglo-Saxons,the bourgeoisie,0.0,0.0,0.0,2,SQuAD baseline,2025-07-10T00:43:52.715624
minimal_20250710_003817,question_mark,45,What was the Anglo-Norman language's final form?,Modern English,middle english,0.0,0.5,0.5,2,SQuAD baseline,2025-07-10T00:43:53.071117
minimal_20250710_003817,question_mark,46,In what year did the Norman's invade at Bannow Bay?,1169,1169,1.0,1.0,1.0,1,SQuAD baseline,2025-07-10T00:43:53.754171
minimal_20250710_003817,question_mark,47,What country did the Normans invade in 1169?,Ireland,england,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:54.245443
minimal_20250710_003817,question_mark,48,What culture did the Normans combine with in Ireland?,Irish,irish,1.0,1.0,1.0,1,SQuAD baseline,2025-07-10T00:43:54.531501
minimal_20250710_003817,question_mark,49,Who was Margaret's brother?,Edgar,dauphin of france,0.0,0.0,0.0,3,SQuAD baseline,2025-07-10T00:43:55.108594
minimal_20250710_003817,question_mark,50,Who was Margaret's husband?,King Malcolm III of Scotland,hans schroeder,0.0,0.0,0.0,2,SQuAD baseline,2025-07-10T00:43:55.480056
minimal_20250710_003817,question_mark,51,When was Scotland invaded by William?,1072,1612,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:56.124986
minimal_20250710_003817,question_mark,52,Who was the hostage?,Duncan,iran,0.0,0.0,0.0,1,SQuAD baseline,2025-07-10T00:43:56.835503
minimal_20250710_003817,question_mark,53,Who did Alexander I marry?,Sybilla of Normandy,yolande of dreux,0.0,0.3333333333333333,0.3333333333333333,3,SQuAD baseline,2025-07-10T00:43:57.288893
